Game #1 25.07.2023 12:45 Secret number: 4357
Guess #1: 1234 -> 0 быки 2 коровы
Guess #2: 2314 -> 1 быки 1 коровы
Guess #3: 2134 -> 0 быки 2 коровы
Guess #4: 2413 -> 0 быки 2 коровы
Guess #5: 2341 -> 1 быки 1 коровы
Guess #6: 4321 -> 2 быки 0 коровы
Guess #7: 4356 -> 3 быки 0 коровы
Guess #8: 4357 -> 4 быки 0 коровы
Game #2 25.07.2023 12:56 Secret number: 8136
Guess #1: 1234 -> 1 бык 1 корова
Guess #2: 2134 -> 2 быка 0 коров
Guess #3: 2156 -> 2 быка 0 коров
Guess #4: 2178 -> 1 бык 1 корова
Guess #5: 2134 -> 2 быка 0 коров
Guess #6: 2135 -> 2 быка 0 коров
Guess #7: 2435 -> 1 бык 0 коров
Guess #8: 3145 -> 1 бык 1 корова
Guess #9: 4135 -> 2 быка 0 коров
Guess #10: 4167 -> 1 бык 1 корова
Guess #11: 3167 -> 1 бык 2 коровы
Guess #12: 1367 -> 0 быка 3 коровы
Guess #13: 3671 -> 0 быка 3 коровы
Guess #14: 6731 -> 1 бык 2 коровы
Guess #15: 1736 -> 2 быка 1 корова
Guess #16: 1738 -> 1 бык 2 коровы
Guess #17: 1739 -> 1 бык 1 корова
Guess #18: 1378 -> 0 быка 3 коровы
Guess #19: 1234 -> 1 бык 1 корова
Guess #20: 1324 -> 0 быка 2 коровы
Guess #21: 1734 -> 1 бык 1 корова
Guess #22: 6731 -> 1 бык 2 коровы
Guess #23: 3716 -> 1 бык 2 коровы
Guess #24: 6137 -> 2 быка 1 корова
Guess #25: 7136 -> 3 быка 0 коров
Guess #26: 0136 -> 3 быка 0 коров
Guess #27: 2136 -> 3 быка 0 коров
Guess #28: 4136 -> 3 быка 0 коров
Guess #29: 9136 -> 3 быка 0 коров
Guess #30: 8136 -> 4 быка 0 коров
Строка была угадана за 30 попыток.
Game #3 25.07.2023 13:14 Загаданная строка: 3896
Запрос #1: 1234 -> 0 быка 1 корова
Запрос #2: 1234 -> 0 быка 1 корова
Запрос #3: 3211 -> 1 бык 0 коров
Запрос #4: 1234 -> 0 быка 1 корова
Запрос #5: 2345 -> 0 быка 1 корова
Запрос #6: 3456 -> 2 быка 0 коров
Запрос #7: 3478 -> 1 бык 1 корова
Запрос #8: 1457 -> 0 быка 0 коров
Запрос #9: 3256 -> 2 быка 0 коров
Запрос #10: 3567 -> 1 бык 1 корова
Запрос #11: 3576 -> 2 быка 0 коров
Запрос #12: 3986 -> 2 быка 2 коровы
Запрос #13: 3896 -> 4 быка 0 коров
Строка была угадана за 13 попыток.
